Month,Customer Name,Destination City,Total Load Volume (m3),Truck Type,Truck Volume M3,Total Transport Cost (NGN),Capacity Utilisation
JULY,X-QUISITE,RIVERS,91.07,NG Jumbo (110 m3),109.23,385000,0.83
JULY,MANY AGRO ALLIED,JIGAWA,105.1,NG Jumbo (110 m3),107.94,802000,0.97
JULY,FADANKAI NIGERIA LIMITED,ABUJA,73.53,NG 30 Ton (76 m3),78.86,477294,0.93
JULY,KAMCHEG,RIVERS,103.36,NG Jumbo (106 m3),107.94,238000,0.96
JULY,OLIVE AND OLIVE,IMO,96.99,NG Jumbo (110 m3),115.6,415510,0.84
JULY,BENELIZA,IMO,97.92,NG Jumbo (110 m3),115.83,423371,0.85
JULY,ARTEE INDUSTRIES LIMITED,RIVERS,69.93,NG 30 Ton (76 m3),88.18,346690,0.79
JULY,LATTICE-LINK,ABUJA,76.36,NG 30 Ton (76 m3),86.39,421650,0.88
JULY,ESE BLESSING SEA FOODS ENTERPR,DELTA,91.9,NG Jumbo (110 m3),109,340000,0.84
JULY,CHINEMEGO,ZAMFARA,78.3,NG 30 Ton (76 m3),80.35,530665,0.97
JULY,RALSHIMA LIMITED,SOKOTO,74,NG 30 Ton (76 m3),76.44,545350,0.97
JULY,IGBOZULIKE INVESTMENT,RIVERS,72.12,NG 30 Ton (76 m3),75.99,371690,0.95
JULY,JUFATIMA INVESTMENT LTD,ABUJA,105.2,NG Jumbo (110 m3),116.54,520032,0.9
JULY,TUNRAY NIGERIA,BORNU,73,NG 30 Ton (76 m3),74.9,788340,0.97
JULY,JOMARMAY,ADAMAWA,72.5,NG 30 Ton (76 m3),76.1,793340,0.95
JULY,J.O. ADEBIYI,ABUJA,65.21,NG 30 Ton (76 m3),68.52,477294,0.95
JULY,KOKO PASFAM,ENUGU,77.89,NG 30 Ton (76 m3),88.11,418495,0.88
JULY,HASSAN ABDULLAHI & SONS,ABUJA,89.65,NG 30 Ton (90 m3),107.81,531720,0.83
JULY,J.J. NNOLI,PLATEAU,71.78,NG 30 Ton (76 m3),76.79,640833,0.93
JULY,MANY AGRO ALLIED CHEM COY NIG,JIGAWA,74.23,NG 30 Ton (76 m3),76.44,590310,0.97
JULY,ARTEE INDUSTRIES,NASARAWA,68.8,NG 30 Ton (76 m3),73.23,512804,0.94
JULY,NEXT CASH & CARRY,ABUJA,86.67,NG 30 Ton (90 m3),90.45,531720,0.96
JULY,NEXT CASH & CARRY,RIVERS,70.3,NG 30 Ton (76 m3),77.51,346690,0.91
JULY,MD MART,RIVERS,109,NG Jumbo (110 m3),114.66,490354,0.95
JULY,TUNRAY NIGERIA LIMITED,KANO,63,NG 30 Ton (76 m3),69.94,540350,0.9
JULY,EXPRESS AFRICANA GLOBAL NIG. L,CROSS RIVER,103,NG Jumbo (110 m3),106.7,574875,0.97
JULY,SKYF MULTI SERVICES LTD,GOMBE,77.34,NG 30 Ton (76 m3),86.39,609050,0.9
JULY,YOUNG OMEX DYNAMIC SYNERGY LTD,BENUE,68.01,NG 30 Ton (76 m3),76.22,449760,0.89
JULY,MURTALA ABDULLAHI ENTERPRISES,KADUNA,83,NG 30 Ton (90 m3),86.83,510600,0.96
JULY,MURTALA ABDULLAHI ENTERPRISES,KADUNA,75.42,NG 30 Ton (76 m3),77.75,445075,0.97
JULY,MANY AGRO,JIGAWA,72.8,NG 30 Ton (76 m3),76.53,590310,0.95
JULY,OPTIMAL COLOUR,ABIA,73.59,NG 30 Ton (76 m3),87.38,515354,0.84
JULY,ESE BLESSING SEA,DELTA,66.83,NG 30 Ton (76 m3),88.11,251027,0.76
JULY,ARTEE INDUSTRIES,ENUGU,75.66,NG 30 Ton (76 m3),78,418495,0.97
JULY,CHINEMEGO ENTERPRISES LTD,NIGER,75.1,NG 30 Ton (76 m3),75.99,384170,0.99
JULY,MAYWEATHER INVESTMENT LIMITED,ABUJA,76.01,NG 30 Ton (76 m3),76.44,421650,0.99
JULY,FADANKAI NIGERIA,ABUJA,71.59,NG 30 Ton (76 m3),76.47,492294,0.94
